# 武器/物品外观替换 —— 可选目标清单
# 格式：<原版 prefab 名> = <显示名> | <类型>
#   · 类型 = 选完模型后把同类物品排到最前（留空则按名字猜：Bow*=弓）
#   · 名字和顺序随你改；装的时候也能直接手输 prefab 名（例如 BowSpineSnap）
#   · 下面每一行的 prefab 名都对着游戏资源清单逐个核对过（真实存在），显示名取自游戏内置简体中文语言包
#   · 本版只列弓（弩/剑/斧/盾/法杖…这些不提供，已按需求取消）
#   · 熔炉里的「铸胚：…」半成品没列（例：BowGoldUncooked），需要时手输 prefab 名即可

# ── 弓（12 件）──
Bow = 粗弓 | 弓
BowFineWood = 细木弓 | 弓
BowHuntsman = 猎户弓 | 弓
BowDraugrFang = 尸鬼之牙 | 弓
BowSpineSnap = 断脊 | 弓
BowAshlands = 灰烬之牙 | 弓
BowAshlandsBlood = 嗜血之牙 | 弓
BowAshlandsRoot = 邪根之牙 | 弓
BowAshlandsStorm = 风暴之牙 | 弓
BowGold = 北境之弓 | 弓
BowGold_BloodLightning = 雷血之弓 | 弓
BowGold_FrostFire = 冰火之弓 | 弓
